BOOK_ID	last_name	first_name	title	Date
"100.xml.txt"	"Austen"	"Jane"	"Sense And Sensibility A Novel"	1811
"102.xml.txt"	"Austen"	"Jane"	"The Watsons"	1805
"103.xml.txt"	"Austin"	"Alfred"	"An Artists Proof"	1864
"104.xml.txt"	"Austin"	"Alfred"	"Jessies Expiation A Novel"	1867
"105.xml.txt"	"Austin"	"Jane"	"Cipher A Romance"	1869
"106.xml.txt"	"Austin"	"Jane"	"Dora Darling The Daughter Of The Regiment"	1865
"107.xml.txt"	"Austin"	"Jane"	"Outpost"	1867
"108.xml.txt"	"Austin"	"Jane"	"The Shadow Of Moloch Mountain"	1870
"109.xml.txt"	"Unknown"	"NA"	"Lemuel The Romance Of Politics"	1883
"110.xml.txt"	"Unknown"	"NA"	"Gerald Hastings Of Barton"	1870
"111.xml.txt"	"Unknown"	"NA"	"Pomegranate Seed"	1886
"112.xml.txt"	"Unknown"	"NA"	"Varieties Of Life Or Conduct And Consequences A Novel"	1815
"113.xml.txt"	"Unknown"	"NA"	"Una Crichton"	1882
"114.xml.txt"	"Bacon"	"Delia"	"Tales Of The Puritans The Regicides The Fair Pilgrim Castine"	1831
"115.xml.txt"	"Bacon"	"Thomas"	"The Orientalist Containing A Series Of Tales Legends And Historical Romances"	1842
"116.xml.txt"	"Bagby"	"George"	"What I Did With My Fifty Millions"	1874
"117.xml.txt"	"Bage"	"Robert"	"Hermsprong Or Man As He Is Not A Novel"	1796
"118.xml.txt"	"Bage"	"Robert"	"Man As He Is A Novel"	1792
"119.xml.txt"	"Bainbridge"	"Maria"	"Rose Of Woodlee A Tale"	1843
"120.xml.txt"	"Baker"	"Henry"	"Strafford A Romance"	1878
"121.xml.txt"	"Baldwin"	"Louisa"	"Richard Dare"	1894
"122.xml.txt"	"Balfour"	"Alexander"	"The Foundling Of Glenthorn Or The Smugglers Cave A Novel"	1823
"123.xml.txt"	"Ballantyne"	"Robert"	"The Coral Island A Tale Of The Pacific Ocean"	1858
"124.xml.txt"	"Banim"	"John"	"Father Connell"	1842
"125.xml.txt"	"Banim"	"John"	"Tales"	1825
"126.xml.txt"	"Banim"	"John"	"The Boyne Water A Tale"	1826
"127.xml.txt"	"Banim"	"John"	"The Croppy A Tale Of 1798"	1828
"128.xml.txt"	"Banim"	"John"	"The Denounced"	1830
"129.xml.txt"	"Banim"	"Michael"	"The Mayor Of Windgap And Canvassing"	1835
"130.xml.txt"	"Banim"	"Michael"	"The Town Of The Cascades"	1864
"131.xml.txt"	"Banks"	"Henry"	"Melchior Gorles A Tale Of Modern Mesmerism"	1867
"132.xml.txt"	"Banks"	"Isabella"	"Forbidden To Marry A Novel"	1883
"133.xml.txt"	"Banks"	"Isabella"	"Gods Providence House A Story Of 1791"	1865
"134.xml.txt"	"Banks"	"Isabella"	"Sybilla And Other Stories"	1885
"135.xml.txt"	"Banks"	"Isabella"	"The Manchester Man"	1876
"136.xml.txt"	"Banks"	"Isabella"	"Wooers And Winners Or Under The Scars A Yorkshire Story"	1882
"137.xml.txt"	"Barclay"	"Florence"	"Guy Mervyn A Novel"	1891
"138.xml.txt"	"Baring-Gould"	"Sabine"	"Arminell A Social Romance"	1889
"139.xml.txt"	"Baring-Gould"	"Sabine"	"Cheap Jack Zita"	1894
"140.xml.txt"	"Baring-Gould"	"Sabine"	"Court Royal A Story Of Cross Currents"	1886
"141.xml.txt"	"Baring-Gould"	"Sabine"	"In Exitu Israel An Historical Novel"	1870
"142.xml.txt"	"Baring-Gould"	"Sabine"	"In The Roar Of The Sea A Tale Of The Cornish Coast"	1892
"143.xml.txt"	"Baring-Gould"	"Sabine"	"John Herring A West Of England Romance"	1883
"144.xml.txt"	"Baring-Gould"	"Sabine"	"Kitty Alone A Story Of Three Fires"	1894
"145.xml.txt"	"Baring-Gould"	"Sabine"	"Mrs Curgenven Of Curgenven"	1893
"146.xml.txt"	"Baring-Gould"	"Sabine"	"Red Spider"	1887
"147.xml.txt"	"Baring-Gould"	"Sabine"	"Richard Cable The Lightshipman"	1888
"148.xml.txt"	"Baring-Gould"	"Sabine"	"The Gaverocks A Tale Of The Cornish Coast"	1887
"149.xml.txt"	"Baring-Gould"	"Sabine"	"The Pennycomequicks A Novel"	1889
"150.xml.txt"	"Baring-Gould"	"Sabine"	"The Queen Of Love A Novel"	1894
"151.xml.txt"	"Barrett"	"Eaton"	"The Heroine Or Adventures Of Cherubina"	1814
"152.xml.txt"	"Barrett"	"Eaton"	"The Metropolis A Novel"	1819
"153.xml.txt"	"Barrett"	"Eaton"	"The Metropolis Or A Cure For Gaming Interspersed With Anecdotes Of Living Characters In High Life"	1811
"154.xml.txt"	"Barrett"	"Frank"	"A Prodigals Progress"	1882
"155.xml.txt"	"Barrett"	"Frank"	"Folly Morrison A Novel"	1880
"156.xml.txt"	"Barrett"	"Frank"	"Lieutenant Barnabas A Novel"	1881
"157.xml.txt"	"Barrett"	"Frank"	"The Admirable Lady Biddy Fane Her Surprising Curious Adventures In Strange Parts And Happy Deliverance From Pirates Battle Captivity And Other Terrors With Divers Romantic And Moving Accidents As Set Forth By Benet Pengilly Her Companion In Misfort"	1888
"158.xml.txt"	"Barrett"	"Frank"	"The Harding Scandal"	1896
"159.xml.txt"	"Barrett"	"Frank"	"The Sin Of Olga Zassoulich A Novel"	1891
"160.xml.txt"	"Barrett-Lennard"	"Emma"	"Constance Rivers"	1867
"161.xml.txt"	"Barrie"	"James"	"The Little Minister"	1891
"162.xml.txt"	"Barrie"	"James"	"The Novels Tales And Sketches Of Jm Barrie"	1896
"163.xml.txt"	"Mott"	"Albert"	"Trust For Trust"	1859
"164.xml.txt"	"Barry"	"William"	"The New Antigone A Romance"	1887
"165.xml.txt"	"Barter"	"Catherine"	"Poor Nellie"	1887
"166.xml.txt"	"Bates"	"Emily"	"George Vyvian"	1890
"167.xml.txt"	"Battersby"	"John"	"Telltale Sophas An Eclectic Fable Founded On Anecdotes Foreign And Domestic"	1826
"168.xml.txt"	"Baxter"	"Francis"	"Percy Lockhart Or The Hidden Will"	1872
"169.xml.txt"	"Bayfield"	"E"	"The Corinna Of England And A Heroine In The Shade A Modern Romance"	1809
"170.xml.txt"	"Bayley"	"Frederic"	"Scenes And Stories By A Clergyman In Debt Written During His Confinement In The Debtors Prisons"	1835
"171.xml.txt"	"Beale"	"Anne"	"Country Landlords"	1860
"172.xml.txt"	"Beale"	"Anne"	"Courtleroy"	1887
"173.xml.txt"	"Beale"	"Anne"	"Nothing Venture Nothing Have A Novel"	1864
"174.xml.txt"	"Beale"	"Anne"	"Restitution"	1889
"175.xml.txt"	"Beale"	"Anne"	"Simplicity And Fascination Or Guardians And Wards"	1885
"176.xml.txt"	"Beale"	"Anne"	"Traits And Stories Of The Welsh Peasantry"	1849
"177.xml.txt"	"Beall"	"Noble"	"Precipitance A Highland Tale"	1823
"178.xml.txt"	"Beamish"	"North"	"Peace Campaigns Of A Cornet"	1829
"179.xml.txt"	"Beaton"	"Patrick"	"Marion Leslie A Story"	1863
"180.xml.txt"	"Beauchamp"	"Shelsley"	"Grantley Grange Benedicts And Bachelors"	1879
"181.xml.txt"	"Beazley"	"Samuel"	"The Oxonians A Glance At Society"	1830
"182.xml.txt"	"Beckford"	"William"	"Vathek Translated From The Original French Third Edition Revised And Corrected"	1786
"183.xml.txt"	"Bedford"	"John"	"Wanderings Of Childe Harolde A Romance Of Real Life Interspersed With Memoirs Of The English Wife The Foreign Mistress And Various Other Celebrated Characters"	1825
"184.xml.txt"	"Beesly"	"Emily"	"Stories From The History Of Rome"	1886
"185.xml.txt"	"Chichester"	"Frederick"	"The Farce Of Life A Novel"	1852
"186.xml.txt"	"Chichester"	"Frederick"	"Two Generations Or Birth Parentage And Education A Novel"	1851
"187.xml.txt"	"Chichester"	"Frederick"	"Wealth And Labour A Novel"	1853
"188.xml.txt"	"Belgrave"	"Dalrymple"	"Jack Warleigh A Tale Of The Turf And The Law"	1891
"189.xml.txt"	"Belknap"	"Jeremy"	"The Foresters An American Tale Being A Sequel To The Historyof John Bull The Clothier In A Series Of Letters To A Friend1792"	1792
"190.xml.txt"	"Bell"	"Emily"	"A First Appearance"	1872
"191.xml.txt"	"Bell"	"Robert"	"The Ladder Of Gold An English Story"	1850
"192.xml.txt"	"Bellew"	"John"	"Blount Tempest"	1865
"193.xml.txt"	"Bengough"	"Marion"	"So Near Akin A Novel"	1891
"194.xml.txt"	"Bennett"	"Anna"	"Vicissitudes Abroad Or The Ghost Of My Father A Novel"	1806
"195.xml.txt"	"Bennett"	"Emerson"	"Clara Moreland Or Adventures In The Far Southwest"	1853
"196.xml.txt"	"Bennett"	"Emerson"	"Ellen Norbury Or The Adventures Of An Orphan"	1855
"197.xml.txt"	"Bennett"	"Emerson"	"Kate Clarendon Or Necromancy In The Wilderness A Tale Of The Little Miami"	1848
"198.xml.txt"	"Bennett"	"Emerson"	"Leni Leoti Or Adventures In The Far West"	1852
"199.xml.txt"	"Bennett"	"Emerson"	"Oliver Goldfinch Or The Hypocrite"	1850
"200.xml.txt"	"Bennett"	"Emerson"	"Rosalie Du Pont Or Treason In The Camp"	1851
"201.xml.txt"	"Bennett"	"Emerson"	"The Bandit Queen A Tale Of Italy"	1869
"202.xml.txt"	"Bennett"	"Emerson"	"The Bandits Of The Osage A Western Romance"	1847
"203.xml.txt"	"Bennett"	"Emerson"	"The Border Rover"	1857
"204.xml.txt"	"Bennett"	"Emerson"	"The League Of The Miami"	1860
"205.xml.txt"	"Bennett"	"Emerson"	"The Phantom Of The Forest A Tale Of The Dark And Bloody Ground"	1868
"206.xml.txt"	"Bennett"	"Emerson"	"The Pioneers Daughter A Tale Of Indian Captivity"	1851
"207.xml.txt"	"Bennett"	"Emerson"	"The Renegade A Historical Romance Of Border Life"	1848
"208.xml.txt"	"Bennett"	"Emerson"	"The Trappers Bride Or Spirit Of Adventure"	1848
"209.xml.txt"	"Bennett"	"Emerson"	"Viola Or Adventures In The Far Southwest"	1852
"210.xml.txt"	"Bennett"	"Emerson"	"Waldewarren A Tale Of Circumstantial Evidence"	1852
"211.xml.txt"	"Bennett"	"William"	"Malpas Or Le Poursuivant Damour A Romance"	1822
"212.xml.txt"	"Bennett"	"William"	"The Cavalier A Romance"	1821
"213.xml.txt"	"Bennett"	"William"	"The King Of The Peak"	1823
"214.xml.txt"	"Benson"	"Edward"	"The Rubicon"	1894
"215.xml.txt"	"Benson"	"Maria"	"The Wife A Novel"	1810
"216.xml.txt"	"Berkeley"	"Grantley"	"Sandron Hall Or The Days Of Queen Anne"	1840
"217.xml.txt"	"Besant"	"Walter"	"All In A Garden Fair The Simple Story Of Three Boys And A Girl"	1883
"218.xml.txt"	"Besant"	"Walter"	"All Sorts And Conditions Of Men An Impossible Story"	1892
"219.xml.txt"	"Besant"	"Walter"	"Armorel Of Lyonesse A Romance Of Today"	1890
"220.xml.txt"	"Besant"	"Walter"	"Children Of Gibeon"	1886
"221.xml.txt"	"Besant"	"Walter"	"Dorothy Forster A Novel"	1884
"223.xml.txt"	"Besant"	"Walter"	"Readymoney Mortiboy A Matteroffact Story"	1872
"224.xml.txt"	"Besant"	"Walter"	"The Captains Room Etc"	1883
"225.xml.txt"	"Besant"	"Walter"	"The Case Of Mr Lucraft And Other Tales"	1878
"226.xml.txt"	"Besant"	"Walter"	"The Chaplain Of The Fleet A Novel"	1881
"227.xml.txt"	"Besant"	"Walter"	"The Golden Butterfly A Novel"	1876
"228.xml.txt"	"Besant"	"Walter"	"The Ivory Gate"	1892
"229.xml.txt"	"Besant"	"Walter"	"The Master Craftsman"	1896
"230.xml.txt"	"Besant"	"Walter"	"The Monks Of Thelema A Novel"	1878
"231.xml.txt"	"Besant"	"Walter"	"The Rebel Queen"	1893
"232.xml.txt"	"Besant"	"Walter"	"The Ten Years Tenant And Other Stories"	1881
"233.xml.txt"	"Besant"	"Walter"	"The World Went Very Well Then"	1887
"234.xml.txt"	"Besant"	"Walter"	"This Son Of Vulcan A Novel"	1876
"235.xml.txt"	"Besant"	"Walter"	"With Harp And Crown A Novel"	1875
"236.xml.txt"	"Beste"	"John"	"Pope A Novel"	1840
"237.xml.txt"	"Betham-Edwards"	"Matilda"	"Bridget"	1877
"238.xml.txt"	"Betham-Edwards"	"Matilda"	"John And I"	1862
"239.xml.txt"	"Betham-Edwards"	"Matilda"	"Lisabees Love Story"	1884
"240.xml.txt"	"Betham-Edwards"	"Matilda"	"Next Of Kin Wanted A Novel"	1887
"241.xml.txt"	"Bigg-Wither"	"G"	"The Three Curates A Novel"	1887
"242.xml.txt"	"Biggs"	"Caroline"	"Waiting For Tidings"	1874
"243.xml.txt"	"Biggs"	"Elizabeth"	"White And Black A Story Of The Southern States"	1862
"244.xml.txt"	"Bird"	"Frederick"	"Stonedell Lodge A Novel"	1879
"245.xml.txt"	"Bird"	"M"	"The Hawkshawes A Novel By Ma Bird"	1865
"246.xml.txt"	"Bishop"	"Maria"	"Elizabeth Eden A Novel"	1878
"247.xml.txt"	"Bisset"	"Robert"	"Douglas Or The Highlander A Novel"	1800
"248.xml.txt"	"Bisset"	"Robert"	"Modern Literature A Novel"	1804
"249.xml.txt"	"Black"	"Clementina"	"Orlando"	1879
"250.xml.txt"	"Black"	"William"	"A Daughter Of Heth A Novel"	1871
"251.xml.txt"	"Black"	"William"	"A Princess Of Thule"	1874
"252.xml.txt"	"Black"	"William"	"Donald Ross Of Heimra"	1891
"253.xml.txt"	"Black"	"William"	"Green Pastures And Piccadilly"	1877
"254.xml.txt"	"Black"	"William"	"In Far Lochaber"	1888
"255.xml.txt"	"Black"	"William"	"Kilmeny"	1877
"256.xml.txt"	"Black"	"William"	"Stand Fast Craigroyston A Novel"	1890
"257.xml.txt"	"Black"	"William"	"Sunrise A Story Of These Times"	1881
"258.xml.txt"	"Black"	"William"	"The Handsome Humes"	1893
"259.xml.txt"	"Black"	"William"	"The New Prince Fortunatus"	1890
"260.xml.txt"	"Black"	"William"	"Three Feathers A Novel"	1877
"261.xml.txt"	"Black"	"William"	"Wolfenberg A Novel"	1892
"262.xml.txt"	"Black"	"William"	"Yolande The Story Of A Daughter"	1883
"263.xml.txt"	"Blackburne"	"Gertrude"	"In Opposition"	1888
"264.xml.txt"	"Blackmore"	"Richard"	"Clara Vaughan A Novel"	1864
"265.xml.txt"	"Blackmore"	"Richard"	"Lorna Doone A Romance Of Exmoor"	1869
"267.xml.txt"	"Blackmore"	"Richard"	"The Maid Of Sker"	1872
"268.xml.txt"	"Blake"	"Elizabeth"	"Mrs Greys Reminiscences"	1878
"269.xml.txt"	"Blaze de Bury"	"Marie"	"All For Greed"	1868
"270.xml.txt"	"Blenkinsop"	"Adam"	"Paddiana Or Scraps And Sketches Of Irish Life Present And Past"	1847
"271.xml.txt"	"Unknown"	"NA"	"From The Peasantry To The Peerage A Novel"	1860
"272.xml.txt"	"Boddington"	"Mary"	"The Gossips Week"	1836
"273.xml.txt"	"Browne"	"Thomas"	"A Colonial Reformer"	1895
"274.xml.txt"	"Browne"	"Thomas"	"Nevermore"	1892
"275.xml.txt"	"Browne"	"Thomas"	"The Miners Right A Tale Of The Australian Goldfields"	1890
"276.xml.txt"	"Borrow"	"George"	"Lavengro The Scholarthe Gypsythe Priest"	1851
"277.xml.txt"	"Borrow"	"George"	"Lavengro The Scholar_Xxthe Gypsy_Xxthe Priest"	1851
"278.xml.txt"	"von Bothmer"	"Marie"	"Aut Caesar Aut Nihil"	1883
"279.xml.txt"	"von Bothmer"	"Marie"	"Strong Hands And Steadfast Hearts"	1870
"280.xml.txt"	"Boucher"	"?mile"	"A Statesmans Love"	1886
"281.xml.txt"	"Boyce"	"John"	"Frost And Thaw A Story With A Moral"	1873
"282.xml.txt"	"Boyle"	"R"	"A Good Hater"	1885
"283.xml.txt"	"Boyle"	"R"	"The Golden Prime A Novel"	1882
"284.xml.txt"	"Boyle"	"R"	"The Treasure Of Thorburns A Novel"	1887
"285.xml.txt"	"Boyle"	"Mary"	"The State Prisoner A Tale Of The French Regency"	1837
"286.xml.txt"	"Maxwell"	"Mary"	"A Strange World A Novel"	1875
"287.xml.txt"	"Maxwell"	"Mary"	"All Along The River A Novel"	1893
"288.xml.txt"	"Maxwell"	"Mary"	"An Open Verdict A Novel"	1878
"289.xml.txt"	"Maxwell"	"Mary"	"Asphodel A Novel"	1881
"290.xml.txt"	"Maxwell"	"Mary"	"Birds Of Prey A Novel"	1867
"291.xml.txt"	"Maxwell"	"Mary"	"Charlottes Inheritance A Novel"	1868
"292.xml.txt"	"Maxwell"	"Mary"	"Dead Mens Shoes A Novel"	1876
"293.xml.txt"	"Maxwell"	"Mary"	"Dead-sea Fruit"	1868
"294.xml.txt"	"Maxwell"	"Mary"	"Eleanors Victory"	1863
"295.xml.txt"	"Maxwell"	"Mary"	"Fentons Quest A Novel"	1871
"296.xml.txt"	"Maxwell"	"Mary"	"Gerard Or The World The Flesh And The Devil A Novel"	1891
"297.xml.txt"	"Maxwell"	"Mary"	"Henry Dunbar The Story Of An Outcast"	1864
"298.xml.txt"	"Maxwell"	"Mary"	"Hostages To Fortune A Novel"	1875
"299.xml.txt"	"Maxwell"	"Mary"	"Joshua Haggards Daughter A Novel"	1876
"300.xml.txt"	"Maxwell"	"Mary"	"Lady Audleys Secret"	1862
"302.xml.txt"	"Maxwell"	"Mary"	"Like And Unlike A Novel"	1887
"303.xml.txt"	"Maxwell"	"Mary"	"Lost For Love A Novel"	1874
"304.xml.txt"	"Maxwell"	"Mary"	"Mount Royal A Novel"	1882
"305.xml.txt"	"Maxwell"	"Mary"	"One Life One Love A Novel"	1890
"306.xml.txt"	"Maxwell"	"Mary"	"One Thing Needful"	1887
"307.xml.txt"	"Maxwell"	"Mary"	"Phantom Fortune A Novel"	1883
"308.xml.txt"	"Maxwell"	"Mary"	"Robert Ainsleigh"	1872
"309.xml.txt"	"Maxwell"	"Mary"	"Sir Jaspers Tenant"	1865
"310.xml.txt"	"Maxwell"	"Mary"	"Sons Of Fire A Novel"	1895
"311.xml.txt"	"Maxwell"	"Mary"	"Strangers And Pilgrims A Novel"	1873
"312.xml.txt"	"Maxwell"	"Mary"	"Taken At The Flood A Novel"	1874
"313.xml.txt"	"Maxwell"	"Mary"	"The Cloven Foot A Novel"	1879
"314.xml.txt"	"Maxwell"	"Mary"	"The Day Will Come A Novel"	1889
"315.xml.txt"	"Maxwell"	"Mary"	"The Fatal Three A Novel"	1888
"316.xml.txt"	"Maxwell"	"Mary"	"The Golden Calf A Novel"	1883
"317.xml.txt"	"Maxwell"	"Mary"	"The Ladys Mile"	1866
"318.xml.txt"	"Maxwell"	"Mary"	"The Lovels Of Arden A Novel"	1871
