BOOK_ID,last_name,first_name,title,Date,url
2677,Smart,Henry,Without Love Or Licence A Tale Of South Devon,1890,"https://archive.org/details/texts?&and[]=Without%20Love%20Or%20Licence%20A%20Tale%20Of%20South%20Devon&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smart"""
2678,Smedley,Menella,The Story Of A Family,1851,"https://archive.org/details/texts?&and[]=The%20Story%20Of%20A%20Family&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smedley"""
2679,Smith,Albert,The Fortunes Of The Scattergood Family,1845,"https://archive.org/details/texts?&and[]=The%20Fortunes%20Of%20The%20Scattergood%20Family&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2680,Smith,Alice,A Woman Of Mind A Novel,1879,"https://archive.org/details/texts?&and[]=A%20Woman%20Of%20Mind%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2681,Smith,Caroline,Magdalen Havering Being Chapters In The History Of A Family,1861,"https://archive.org/details/texts?&and[]=Magdalen%20Havering%20Being%20Chapters%20In%20The%20History%20Of%20A%20Family&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2682,Smith,Charlotte,The Republicans Mistress A Novel Founded Upon Facts,1821,"https://archive.org/details/texts?&and[]=The%20Republicans%20Mistress%20A%20Novel%20Founded%20Upon%20Facts&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2683,Smith,Constance,The Repentance Of Paul Wentworth A Novel,1889,"https://archive.org/details/texts?&and[]=The%20Repentance%20Of%20Paul%20Wentworth%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2684,Smith,John,Stanfield Hall An Historical Romance,1888,"https://archive.org/details/texts?&and[]=Stanfield%20Hall%20An%20Historical%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2685,Smith,Julia,The Old School,1813,"https://archive.org/details/texts?&and[]=The%20Old%20School&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2686,Smith,Jane,Love And Liking A Novel,1887,"https://archive.org/details/texts?&and[]=Love%20And%20Liking%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2687,Smith,Charlotte,Emmeline The Orphan Of The Castle,1788,"https://archive.org/details/texts?&and[]=Emmeline%20The%20Orphan%20Of%20The%20Castle&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2688,Smith,Charlotte,Marchmont A Novel By Charlotte Smith,1796,"https://archive.org/details/texts?&and[]=Marchmont%20A%20Novel%20By%20Charlotte%20Smith&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2689,Smith,Charlotte,The Old Manor House A Novel,1793,"https://archive.org/details/texts?&and[]=The%20Old%20Manor%20House%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
