,verb,coeff_percentage,coeff_count_number,coeff_NSC
73,fell,0.5717617905299877,1.0006432522835458,0.0
74,felt,0.6801423725197587,0.8195471291446331,-0.1141
75,find,0.8376231692333538,1.152843457405726,0.0627
76,finished,0.45392591663662135,0.7299707043688698,0.0
77,follow,0.41532336845955287,0.810148355192432,0.011000000000000001
78,followed,0.5466050388976387,1.0137721755368814,0.0228
79,forget,0.41188607387306997,0.7243703773054957,-0.004
80,forgot,0.4044052623998836,0.6645355032451808,0.0
81,forgotten,0.456388450534586,0.7556724761591584,0.0
82,found,0.9371738361383737,1.0968528891233664,0.1061
83,free,0.3808913069209924,0.6767322728498246,0.0
84,gained,0.5331490142785302,0.8210187235755987,0.0241
85,gave,0.7246159992060122,1.0438243026977596,-0.0209
86,gazed,0.5478514460215187,0.9711101398601396,-0.0153
87,get,0.8711500010730646,1.2616724794676868,0.0794
88,give,0.7510959717920374,1.1088872142677717,0.0272
89,given,0.5937586796621905,0.9664687626501149,-0.0045
90,glanced,0.5236942430935663,0.8001418439716312,-0.0128
91,go,0.7771166416733613,1.0136201193022543,-0.0093
92,goes,0.624126327031187,1.0196384325961274,0.0252
93,going,0.8055831635502712,1.12733272790064,0.0347
94,gone,0.6567202287886856,1.0587478164935185,0.0
95,got,0.9762364802465427,1.3688638441521919,0.0652
96,grew,0.42722432601061683,0.6914548022598868,-0.016
97,had,0.9349047035517182,1.1505108419570356,0.0
98,has,0.830754702763841,1.2272874613231173,0.0215
99,hath,0.8598681891441549,1.4789922930305792,0.0069
100,have,0.8241494140886035,1.1060373902361733,0.0
101,hear,0.5188236021743036,0.7716554546085028,-0.0511
102,heard,0.6345983615350759,0.838408363300394,-0.1141
103,held,0.6957310136654908,1.1098374753709317,0.0
104,help,0.553780602089472,0.8020260095824777,-0.0098
105,hesitated,0.389996324477755,0.6678627494954026,-0.0151
106,hold,0.38415504236482445,0.7341517407929161,0.0
107,hoped,0.5911910985735538,0.8180266020433453,0.0
108,hurried,0.4508270175492408,0.7638320271376768,-0.0021
109,imagined,0.46597224072565,0.6874664951216897,0.0
110,inquired,0.5309322522212605,0.9524975070256549,0.0
111,intended,0.6549574453567041,1.0152183039462637,0.0514
112,is,0.7157570378916657,1.1890326636186577,-0.0092
