verb,coeff,rsquared,tvalue
grew,0.42722432601061683,0.29540519419903366,37.35347442682815
had,0.9349047035517182,0.89683764612401,170.09359192846972
has,0.830754702763841,0.6671011227830845,81.66412806271688
hath,0.8598681891441549,0.6459419036530343,77.92039104025348
have,0.8241494140886035,0.744386364601785,98.44617683553737
hear,0.5188236021743036,0.4676208454569877,54.06647668193766
heard,0.6345983615350759,0.6667206985990378,81.594231578041
held,0.6957310136654908,0.558359531060207,64.8655633972099
help,0.553780602089472,0.4290825481823053,50.01213847437715
hesitated,0.389996324477755,0.25434819893057126,33.69286614098121
hold,0.38415504236482445,0.16201630189179306,25.366072608003183
hoped,0.5911910985735538,0.4092582438777058,48.01661517114912
hurried,0.4508270175492408,0.27447612860959847,35.4828173286738
imagined,0.46597224072565,0.2879043499048941,36.68145936742155
inquired,0.5309322522212605,0.3539886799041351,42.70377632920492
intended,0.6549574453567041,0.27602824453753105,35.62112315455693
is,0.7157570378916657,0.631348522254756,75.4950111150917
keep,0.6163726878099904,0.4356234679932329,50.68305906250093
kept,0.606963459823838,0.4526081736589115,52.45703034268692
kissed,0.43292285369098316,0.32846375390640536,40.346015913704306
knew,0.7314464426820408,0.773813299958698,106.70289964834792
know,0.6983981123494414,0.6468223200021057,78.07060286149263
known,0.5554038821605995,0.43340860735923026,50.455142663179785
knows,0.6837068348435388,0.4307474515325702,50.182295719415805
laid,0.5628189541756221,0.4438477553443939,51.53613267791199
laughed,0.5217550212285423,0.3968438575117671,46.79361662115513
lay,0.49948942865310264,0.39769951778129287,46.87729956521564
leaned,0.3951963094780955,0.3039353512053674,38.1204025575453
learned,0.4829910753538692,0.32192150215724025,39.7490419108777
leave,0.6870293790569612,0.4637076116583616,53.64298725318932
led,0.6139590776087849,0.28004102509050355,35.97896063230772
left,0.9239282857487747,0.6807936680341614,84.24878839071965
let,0.6459320101466133,0.5063462973736937,58.425747667145295
lifted,0.47752442822579766,0.32243034157473216,39.795378111630114
like,0.5737154046909292,0.4828387523764539,55.741638582218535
liked,0.5986486046772942,0.5432275618422991,62.911872536601784
likes,0.46367464905628186,0.2587557541621964,34.08442716296719
listen,0.29157781598755605,0.19532876125496634,28.42271218985852
listened,0.41837960619134473,0.39318885829013306,46.43714243597221
live,0.5044348480481156,0.31028980708414333,38.69386315239347
lived,0.5341096843682523,0.4175601433674234,48.84562091973099
lives,0.3100766108155978,0.122288245418683,21.533174429757075
look,0.6237319953544529,0.5584672892399833,64.87973797655316
looked,0.7162771880557695,0.796445715865294,114.1115554965604
looking,0.4329953263753094,0.3289622465676221,40.391614321171055
looks,0.493727153922182,0.4020874766079806,47.30783868745483
lost,0.6097776868024359,0.3835280687790079,45.50232435661643
love,0.39964097466898113,0.3637557584279859,43.61989994096121
loved,0.5414168288855952,0.5706945035795048,66.51357319492091
loves,0.38226369631145507,0.2921342891174684,37.060176947196524
made,0.9589314593613352,0.768148586378802,105.00486055997898
make,0.8821724313407735,0.6617498791334502,80.68998113067546
makes,0.5269429253451151,0.283010966120422,36.244076141894055
married,0.4477787187424267,0.30351209240562704,38.08227351215546
marry,0.42505714673778777,0.3247715241506831,40.00877515975357
meant,0.7668950672012329,0.41541632595519196,48.63065261832209
meet,0.5143262595502348,0.36204449813753503,43.458771076626306
met,0.6951874098652324,0.46449806859308096,53.728299366397174
moved,0.44522079907541734,0.37541078299629116,44.72473634806962
murmured,0.3930412076997566,0.43898157190398024,51.03007891552073
muttered,0.8687961398946709,0.27505975185913,35.53481642373415
observed,0.6422601263742349,0.44124721790724264,51.26521694999761
offered,0.5866829986718636,0.21144082220794191,29.87231862474764
opened,0.5262916595978784,0.411588350201473,48.248360941470885
ought,0.6555854400252743,0.45743602765408653,52.97016991915896
paid,0.6228161748372953,0.18640373274899114,27.613056883393767
pass,0.42552225089288664,0.20058091645988074,28.896763844778807
passed,0.6916243158642258,0.5356776603517002,61.963171271984784
paused,0.7041762299626229,0.535909095182743,61.992006588936086
pay,0.62552973917628,0.18319121248906411,27.320193858069246
perceived,0.5937772448195099,0.43092301276802836,50.20026280672157
placed,0.6102359487178981,0.4027192052620022,47.37001848066036
played,0.3210063056727356,0.17610751069123198,26.671370113600457
pleased,0.4842437909947028,0.3224636725307012,39.79841385710327
pointed,0.4993575193285542,0.270307736220999,35.11163276754996
possessed,0.519302700149046,0.3569848798754738,42.98391583206915
pressed,0.5457433834912782,0.36924513609086074,44.138619552035244
proceeded,0.7837347241785169,0.4278444848398575,49.88587378102749
promised,0.5609802417356753,0.2890475969556249,36.78375634203976
put,0.75909966185958,0.665266524059354,81.32796779362847
quitted,0.7406034656382743,0.48052280097560107,55.48369985130017
raised,0.5436447287510023,0.4646387868309634,53.7434989344043
ran,0.34412387956493096,0.30593474305558666,38.30062897779476
reached,0.6993766023021999,0.38650402285627006,45.789173912234155
read,0.6108235371994888,0.5269973917619959,60.89254474640912
ready,0.4670910844481181,0.30615520819608044,38.32051335470013
receive,0.34983173449311383,0.23034526984521486,31.559734181116276
received,0.6851279916177739,0.5228774618859445,60.391616426387785
recovered,0.33074282562209006,0.24025479492901647,32.44096070204163
refused,0.3060337035209437,0.2315503563976986,31.666982272787255
regarded,0.47392352088287826,0.3138290580661002,39.01414324452925
remain,0.3923256443464055,0.2897611143526626,36.84762384991185
remained,0.5303207822307734,0.42989762915375174,50.09538980194624
remembered,0.527999415837668,0.40095240268530064,47.1962402973952
repeated,0.5403083607781998,0.42957791149700175,50.0627223976696
replied,0.6215066751855354,0.6688931943013445,81.99474010923144
resolved,0.6732534623133848,0.4192275999654407,49.01326203698502
resumed,0.5197974081556034,0.3292858872854758,40.42122727271923
retired,0.4190749622287858,0.29265021294795,37.106412440457106
return,0.6195600668236335,0.33047198501355557,40.52981360292025
returned,0.7883896858979019,0.5463025211350689,63.30311456759068
rode,0.6356739854223629,0.11919928467368934,21.222163399961815
rose,0.5092044187757532,0.5289711674405009,61.134154920242494
run,0.39291645215869075,0.18535643880099573,27.51767154954863
rushed,0.47140832518334175,0.23396948547332064,31.88219647771098
said,0.8929639542808208,0.8970795009357576,170.31628810815755
sank,0.27205772609612,0.30680548632243954,38.379177318147164
sat,0.5604148675198882,0.6486419194830535,78.38251459000244
saw,0.7933123948020822,0.7283853691462594,94.47038507865167
say,0.8110264212529337,0.6586518616971673,80.13474354164106
says,0.8658503617048803,0.6580996603275129,80.03643316495784
see,0.8191583540784435,0.7268216948572284,94.09845584522473
seem,0.43857333649075914,0.2535873151152974,33.62528050099669
seemed,0.7012674818463704,0.6389966233224729,76.7512236767639
seems,0.561065438495291,0.3145468758604909,39.07918219706388
seen,0.7484218855069464,0.5862169926553811,68.66485930818236
sees,0.5136797582331945,0.24932371222669691,33.246589584663376
seized,0.556318262511528,0.19945146569652095,28.7949574763715
send,0.4217565954063528,0.1910784380914069,28.03782328994595
sent,0.6091241434265333,0.342578013511726,41.643698162766306
set,0.7752786677257537,0.4581808829458832,53.04970572001031
shook,0.6376030657605374,0.3702453021689467,44.2334414034837
show,0.4631145382662121,0.24787948682657224,33.118315274150554
showed,0.46492687811473,0.27816133826718004,35.81129059832662
sighed,0.3100776193203036,0.23835606405355902,32.27221447765399
sit,0.36591684530426627,0.2553239561555012,33.77954145664572
sitting,0.32826309632081785,0.27462936152226547,35.49646919622963
smiled,0.44122541903984863,0.3882861710123344,45.961423505257784
sought,0.7093950016618886,0.43611382615500893,50.73362137659349
speak,0.641482619269576,0.5465409255317067,63.33356781356624
spent,0.5607550030177904,0.25160026675981484,33.44878872906417
spoke,0.8211417432049538,0.6985209978179027,87.81179544765469
spoken,0.5403057452763861,0.29847673049571843,37.62927558574195
sprang,0.4699997339601759,0.26297761914679574,34.45963835731108
stand,0.5191172730303257,0.22851005219957166,31.396351144302614
started,0.5285338473852397,0.4085503747739351,47.946353711384845
stay,0.48824667003258326,0.2846567823811055,36.39110097309013
stood,0.766806805866485,0.6723125759571804,82.63183346233443
stopped,0.6575101506202125,0.4736901861422035,54.72907629717892
succeeded,0.5186163739168241,0.21936309675898613,30.580804337792923
suffered,0.434175497559183,0.3583400637289694,43.11087922813045
supposed,0.42299015722229627,0.24943878285843768,33.25680992013848
sure,0.5570718168266269,0.41435748480492973,48.52471064226241
take,0.8983132610225746,0.6186898354187127,73.48335188526008
taken,0.7830420522050558,0.5066992177096727,58.46700851993058
takes,0.5431262059211135,0.26773172513825616,34.88240880659568
talk,0.6143749414090988,0.34022122442818237,41.426018055015355
talked,0.650279931276188,0.3667172015000164,43.899386791799394
tell,0.6539332313736175,0.5194786381173264,59.98175323732553
think,0.722985259393359,0.6215141785846878,73.92517676977751
thinking,0.4728056917313953,0.3204368256308825,39.61393193471356
thinks,0.6279520880318827,0.34842048683737015,42.185168680719116
thought,0.7888803343985394,0.7450891454328459,98.62831479384126
threw,0.5471561879607891,0.4668151094170475,53.979044672097885
told,0.7840383366112834,0.648213023612902,78.30881577396629
took,1.0311037377647332,0.7412413095169317,97.63915085885135
tried,0.6084271051544117,0.5336969954443407,61.71701755841821
try,0.4878310856439541,0.24373617699210726,32.75027819174918
turn,0.5283631134088449,0.260044596794897,34.19895243245324
turned,0.7773484083935203,0.7254791281867077,93.78134030642263
understand,0.497256860761696,0.3960629153846861,46.71731771372332
understood,0.43111874502417913,0.3023049385978216,37.97357237286825
used,0.6786288582830396,0.45176462583018606,52.36778952475929
uttered,0.48124193336450727,0.41398728097493676,48.48770591029485
wait,0.47901623525423037,0.22391546465177126,30.986975484328106
waited,0.521180269066159,0.31866348450461,39.45272239423521
walk,0.37992487301494204,0.19826983448468882,28.688369680112267
walked,0.8778403383039384,0.5022837279192971,57.952916046975815
want,0.523406990431211,0.34131966490621424,41.527421430031666
wanted,0.7344611529816087,0.5132731032275168,59.24111706232482
